student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
0,F,41.361060428782835,85.42507204224168,Commerce,74.97267434609273,Comm&Mgmt,False,0,49.986653302980216,Mkt&Fin,57.291083320473135,,True,2020-02-11,2020-08-02,3.0
1,M,63.720168861400715,99.05903295846942,Commerce,62.7696501171904,Others,False,0,78.96294797034486,Mkt&HR,79.0683186135934,,False,,,
2,M,58.47388371120527,89.2415276584264,Science,83.06632773314792,Sci&Tech,True,0,47.98024372363641,Mkt&Fin,77.04294996059889,26727.0,True,2020-02-13,2020-05-27,3.0
3,F,77.23220401600612,100.52378758246655,Commerce,61.01044473131049,Comm&Mgmt,True,0,61.01621811497264,Mkt&HR,68.1329908759442,22058.0,True,2020-09-24,2020-11-07,3.0
4,F,54.067830186022604,109.61153673487036,Commerce,72.84675254156512,Others,True,0,66.94998696370519,Mkt&Fin,66.36313777424023,,False,,,
5,M,53.58551974766769,103.32729171871692,Commerce,67.70555071709859,Comm&Mgmt,True,0,71.96811596849064,Mkt&Fin,59.613306517340035,51327.0,True,2020-06-11,2020-06-22,3.0
6,F,70.80532508646392,86.79552501658047,Science,82.91620533987009,Comm&Mgmt,True,0,72.3286726573702,Mkt&HR,65.80345667867223,20155.0,True,2020-06-27,2020-06-27,3.0
7,M,60.62268007120731,50.2295963710133,Commerce,76.47150351954835,Comm&Mgmt,True,0,66.47787286084079,Mkt&HR,65.76464073693025,20912.0,True,2020-01-21,2020-10-20,6.0
8,M,63.34087544159071,107.73996359060467,Commerce,72.8253018165508,Comm&Mgmt,False,0,89.53841602153055,Mkt&Fin,64.28171532291998,,False,,,
9,M,77.08709195928455,62.48369135200055,Commerce,48.68856136976637,Others,False,0,60.82011071528885,Mkt&HR,52.99018924107865,29805.0,False,2020-01-03,,
10,M,58.98896507027763,65.48300985468903,Science,60.23267030452597,Comm&Mgmt,False,0,52.76090272028684,Mkt&HR,65.74950370988738,22684.0,True,,2020-09-03,6.0
11,M,63.29850634877938,70.98113637071717,Commerce,69.77513994367197,Comm&Mgmt,False,0,74.75693555467878,Mkt&HR,68.7759165580067,,False,,2020-08-19,
12,F,84.5733524211431,66.66433539933273,Commerce,57.41754681844076,Comm&Mgmt,False,0,60.02630526116593,Mkt&Fin,70.03415908235168,,True,,,6.0
13,M,55.31883639444114,95.36787440125204,Science,84.39536916564465,Sci&Tech,False,0,73.34440732938177,Mkt&HR,60.340473035682884,,False,,,6.0
14,F,59.44048227779488,82.52742831332414,Commerce,70.40761478494235,Sci&Tech,False,0,71.38018119186647,Mkt&Fin,73.42101225042208,,False,,,
15,F,50.46811491432486,103.88748712602975,Commerce,61.97041554975991,Sci&Tech,True,1,51.921715691162944,Mkt&Fin,72.57423415755757,31421.0,True,2020-01-31,2021-04-18,6.0
16,F,66.25090105539131,101.01829398128685,Science,72.72373111968459,Comm&Mgmt,False,0,65.87992813526044,Mkt&Fin,51.769858452283906,30603.0,False,2020-03-20,2020-08-17,6.0
17,M,70.3702538086611,46.666276279432985,Science,87.08656759380767,Sci&Tech,True,0,83.31825267394296,Mkt&Fin,58.82083162971252,18000.0,True,2020-05-11,2020-09-09,6.0
18,F,56.30811876294637,89.68562327500761,Commerce,88.9241009477883,Sci&Tech,False,0,62.751268608445436,Mkt&Fin,63.4376989255412,27101.0,True,,2020-12-27,
19,M,56.59057189276574,97.33436701438438,Commerce,65.66900045632197,Comm&Mgmt,True,0,57.619030311248366,Mkt&Fin,66.18810169997555,43460.0,True,2020-02-17,2020-03-25,6.0
20,F,41.2491276592655,107.01603913476386,Commerce,73.89276274504286,Comm&Mgmt,False,0,73.32986628654109,Mkt&Fin,76.77068014197218,26799.0,True,2020-01-26,2021-01-29,3.0
21,F,64.39481423495204,72.39974719354885,Commerce,79.04479516271942,Comm&Mgmt,False,0,76.41459319591145,Mkt&HR,58.41319649253713,,False,,,
22,M,62.95886501345439,95.10187572654962,Science,84.81550199765552,Others,True,0,50.6418032843294,Mkt&Fin,70.94921002396343,31132.0,True,2020-01-26,2020-11-25,12.0
23,F,61.343790955407016,69.13944500550005,Commerce,53.20704943443703,Comm&Mgmt,True,0,76.22661120898142,Mkt&Fin,64.80450932894516,29003.0,True,2020-01-24,2020-04-01,6.0
24,F,48.43452121059061,69.12671584527662,Commerce,67.94749488607064,Comm&Mgmt,True,0,60.6147016187492,Mkt&Fin,69.51225203536197,23618.0,True,2020-02-12,2020-05-28,3.0
25,M,48.36729487920485,54.35385144923063,Science,66.44746014823401,Comm&Mgmt,True,1,74.01381302365432,Mkt&Fin,71.91202057372752,30368.0,True,2020-02-04,2020-12-07,
26,F,61.05774438896246,76.63255783353142,Science,92.57255717830634,Others,False,0,103.68991008062959,Mkt&Fin,72.34779846090223,,False,,,
