transaction_id,session_id,timestamp,amount,approved
0,0,2019-01-17 20:59:07,95.99882139092982,True
1,1,2019-01-04 12:25:37,92.81229646919337,True
2,2,2019-01-13 09:24:52,68.36914161585187,True
3,3,2019-03-01 15:57:44,561.4687873057192,True
4,3,2019-01-27 21:36:42,317.45632037916073,True
5,4,2019-01-02 18:10:06,84.9501104331089,True
6,5,2019-01-02 18:09:56,84.94712537731229,True
7,6,2019-01-01 15:32:01,101.13727413454167,False
8,7,2019-01-09 05:00:02,84.19059382795355,True
9,8,2019-01-09 04:20:06,83.92650524253708,True
